KONCESSION,Spanning,Enhet,FöretagNa,kommunkod,kommunnamn,Företagsnamn,Hemsida,Emailadress,Telefonnummer,Adress
731ÖKA,24,REL03030,Vattenfall Eldistribution AB,"1495",Skara,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
2974CE,20,REL00143,Olofströms Kraft Nät AB,"1256",Östra Göinge,Olofströms Kraft Nät AB,olofstromskraft.se,kund@okab.net,0454 - 980 00,"Östra Ringvägen 219, 293 40 Olofström"
380CGF,20,REL03028,E.ON Energidistribution AB,"1256",Östra Göinge,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380COC,20,REL03028,E.ON Energidistribution AB,"1256",Östra Göinge,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
4112BI,20,REL01012,Brittedals Elnät ek. för.,"1256",Östra Göinge,Brittedals Elnät ek. för.,brittedal.se,kundservice@brittedal.se,0451-306 21,"Östra Järnvägsgatan 15, 282 75 Hästveda"
4302AG,20,REL01012,Brittedals Elnät ek. för.,"1256",Östra Göinge,Brittedals Elnät ek. för.,brittedal.se,kundservice@brittedal.se,0451-306 21,"Östra Järnvägsgatan 15, 282 75 Hästveda"
3160k,20,REL00043,Gislaved Energi Elnät AB,"0617",Gnosjö,Gislaved Energi Elnät AB,gislavedenergi.se,kundservice@gislavedenergi.se,0371-58 91 10,"Mårtensgatan 27, 332 38 Gislaved"
6256AE,10,REL00235,Värnamo Elnät AB,"0617",Gnosjö,Värnamo Elnät AB,varnamoenergi.se,kund@varnamoenergi.se,0370-69 41 00,"Box 2268, 331 02 Värnamo"
7012AQ,20,REL03028,E.ON Energidistribution AB,"0617",Gnosjö,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
968BB,20,REL03016,Vaggeryds Elverk AB,"0617",Gnosjö,Vaggeryds Elverk AB,vaggerydsenergi.com,kundservice@vaggerydsenergi.se,0393-785 00,"Box 173, 567 24 Vaggeryd"
380CPX,20,REL03028,E.ON Energidistribution AB,"0617",Gnosjö,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
113BR,20,REL00938,Hedemora Elnät AB,"1962",Norberg,Hedemora Elnät AB,hedemoraenergi.se,kontakt@hedemoraenergi.se,0225-349 00,"Box 33, 776 21 Hedemora"
6441AZ,25,REL03030,Vattenfall Eldistribution AB,"1962",Norberg,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖEO,20,REL03030,Vattenfall Eldistribution AB,"1962",Norberg,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
7406Å,20,REL03030,Vattenfall Eldistribution AB,"1962",Norberg,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
7408BC,20,REL00157,Sala-Heby Energi Elnät AB,"1962",Norberg,Sala-Heby Energi Elnät AB,sheab.se,kundtjanst@sheab.se,0224-576 00,"Fabriksgatan 14, 733 39 Sala"
118HA,20,REL00570,Västerbergslagens Elnät AB,"1962",Norberg,Västerbergslagens Elnät AB,vbenergi.se,info@vbenergi.se,0240-876 00,Box 860 771 28 Ludvika
113BR,20,REL00938,Hedemora Elnät AB,"2104",Hofors,Hedemora Elnät AB,hedemoraenergi.se,kontakt@hedemoraenergi.se,0225-349 00,"Box 33, 776 21 Hedemora"
1294BF,20,REL01010,Sandviken Energi Elnät AB,"2104",Hofors,Sandviken Energi Elnät AB,sandvikenenergi.se,info@sandvikenenergi.se,026-24 16 00,"Box 91, 811 21 Sandviken"
"11404",24,REL03015,Falu Elnät AB,"2104",Hofors,Falu Elnät AB,fev.se,info@fev.se,023-77 49 00,"Box 213, 791 25 Falun"
2810X,20,REL01010,Sandviken Energi Elnät AB,"2104",Hofors,Sandviken Energi Elnät AB,sandvikenenergi.se,info@sandvikenenergi.se,026-24 16 00,"Box 91, 811 21 Sandviken"
2869BA,20,REL00249,Årsunda Kraft & Belysningsförening ek. för.,"2104",Hofors,Årsunda Kraft & Belysningsförening ek. för.,arsunda-kraft.se,info@arsunda-kraft.se,026-29 08 54,"Hedkarbyvägen 22, 811 73 Årsunda"
5755AI,20,REL00075,Hofors Elverk AB,"2104",Hofors,Hofors Elverk AB,hoforselverk.se,info@hoforselverk.se,0290-77 18 00,"Box 153, 813 23 Hofors"
6441AZ,25,REL03030,Vattenfall Eldistribution AB,"2104",Hofors,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖEO,20,REL03030,Vattenfall Eldistribution AB,"2104",Hofors,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖEM,20,REL03030,Vattenfall Eldistribution AB,"2104",Hofors,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
360BC,20,REL03028,E.ON Energidistribution AB,"1275",Perstorp,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380COX,24,REL03028,E.ON Energidistribution AB,"1275",Perstorp,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
7035P,20,REL00886,Kraftringen Nät AB,"1275",Perstorp,Kraftringen Nät AB,kraftringen.se,,010-122 70 00,"Box 25, 221 00 Lund"
345CB,12,REL00072,Herrljunga Elektriska AB,"1442",Vårgårda,Herrljunga Elektriska AB,el.herrljunga.se,info@el.herrljunga.se,0513-220 40,"Mariedalsgatan 3, 524 31 Herrljunga"
3508CE,20,REL00011,Bjärke Energi ek. för.,"1442",Vårgårda,Bjärke Energi ek. för.,bjerke-energi.se,info@bjerke-energi.se,0322-650 500,"Energigatan 3, 441 74 Sollebrunn"
435HB,20,REL03030,Vattenfall Eldistribution AB,"1442",Vårgårda,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
563BD,20,REL03049,Alingsås Energi Elnät AB,"1442",Vårgårda,Alingsås Energi Elnät AB,alingsasenergi.se,kundservice@alingsasenergi.se,0322-617 617,"Södra Strömgatan 6, 441 33 Alingsås"
7222D,20,REL00135,Nossebroortens Energi ek. för.,"1442",Vårgårda,Nossebroortens Energi ek. för.,nossebroenergi.se,kundtjanst@nossebroenergi.se,0512-79 81 00,"Liljegatan 15, 465 30 Nossebro"
731ÖKA,24,REL03030,Vattenfall Eldistribution AB,"1442",Vårgårda,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
394AR,20,REL00093,Tekniska verken Katrineholm Nät AB,"0428",Vingåker,Tekniska verken Katrineholm Nät AB,tekniskaverken.se,kundservice@tekniskaverken.se,0771-25 26 27,"Box 1500, 58115 Linköping"
731ÖFL,20,REL03030,Vattenfall Eldistribution AB,"0428",Vingåker,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
1659EX,20,REL00169,Skånska Energi Nät AB,"1266",Hörby,Skånska Energi Nät AB,skanska-energi.se,se@skanska-energi.se,046-507 00,"Skånska Energi AB, Box 25, 221 00 Lund"
380COV,24,REL03028,E.ON Energidistribution AB,"1266",Hörby,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380JCg,20,REL03028,E.ON Energidistribution AB,"1266",Hörby,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
4092AS,24,REL00126,Mellersta Skånes Kraft ek. för.,"1266",Hörby,Mellersta Skånes Kraft ek. för.,mskraft.nu,info@mskraft.se,0413-48 90 00,"Landsvägen 77, 243 72 Tjörnarp"
712AD,20,REL00886,Kraftringen Nät AB,"1266",Hörby,Kraftringen Nät AB,kraftringen.se,,010-122 70 00,"Box 25, 221 00 Lund"
863AB,20,REL00886,Kraftringen Nät AB,"1266",Hörby,Kraftringen Nät AB,kraftringen.se,,010-122 70 00,"Box 25, 221 00 Lund"
895Bå,20,REL00164,Sjöbo Elnät AB,"1266",Hörby,Sjöbo Elnät AB,sjoboelnat.se,info@sjoboelnat.se,0416-41 19 00,"Ommavägen 26, 275 39 Sjöbo"
1290BP,20,REL00175,Staffanstorps Energi AB,"1281",Lund,Staffanstorps Energi AB,staffanstorpscentrum.se/energi,staffanstorpsenergi@staffanstorp.se,046-280 43 00,"Box 137, 245 22 Staffanstorp"
1659EX,20,REL00169,Skånska Energi Nät AB,"1281",Lund,Skånska Energi Nät AB,skanska-energi.se,se@skanska-energi.se,046-507 00,"Skånska Energi AB, Box 25, 221 00 Lund"
380COJ,24,REL03028,E.ON Energidistribution AB,"1281",Lund,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380COL,24,REL03028,E.ON Energidistribution AB,"1281",Lund,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
"11213",24,REL00886,Kraftringen Nät AB,"1281",Lund,Kraftringen Nät AB,kraftringen.se,,010-122 70 00,"Box 25, 221 00 Lund"
712AD,20,REL00886,Kraftringen Nät AB,"1281",Lund,Kraftringen Nät AB,kraftringen.se,,010-122 70 00,"Box 25, 221 00 Lund"
895Bå,20,REL00164,Sjöbo Elnät AB,"1281",Lund,Sjöbo Elnät AB,sjoboelnat.se,info@sjoboelnat.se,0416-41 19 00,"Ommavägen 26, 275 39 Sjöbo"
368DH,20,REL00086,Jönköping Energinät AB,"0687",Tranås,Jönköping Energinät AB,jonkopingenergi.se,kundservice@jonkopingenergi.se,036-10 82 00,"Box 5150, 550 05 Jönköping"
380CNV,20,REL03028,E.ON Energidistribution AB,"0687",Tranås,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
688BC,20,REL00937,Tranås Energi Elnät AB,"0687",Tranås,Tranås Energi Elnät AB,tranasenergi.se,info@tranasenergi.se,0140-692 00,"Box 386, 573 24 Tranås"
731ÖFQ,20,REL03030,Vattenfall Eldistribution AB,"0687",Tranås,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖGI,20,REL03030,Vattenfall Eldistribution AB,"0687",Tranås,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
446ER,20,REL00062,Göteborg Energi Nät AB,"1481",Mölndal,Göteborg Energi Nät AB,goteborgenergi.se,,031-62 62 62,"Box 53, 401 20 Göteborg"
6180Q,20,REL00128,Mölndal Energi Nät AB,"1481",Mölndal,Mölndal Energi Nät AB,molndalenergi.se,kundservice@molndalenergi.se,031-86 65 00,"Box 34, 431 21 Mölndal"
7212BS,40,REL00078,Härryda Energi AB,"1481",Mölndal,Härryda Energi AB,harrydaenergi.se,info@harrydaenergi.se,031-376 10 10,"Kabelvägen 2, 435 80 Mölnlycke"
8705BU,20,REL03035,Ellevio AB,"1481",Mölndal,Ellevio AB,ellevio.se,,0771-53 53 00,
1446CD,20,REL00195,Uddevalla Energi Elnät AB,"1488",Trollhättan,Uddevalla Energi Elnät AB,uddevallaenergi.se,kundservice@uddevallaenergi.se,0522-580 800,"Strömberget, 451 81 Uddevalla"
211CX,20,REL00191,Trollhättan Energi Elnät AB,"1488",Trollhättan,Trollhättan Energi Elnät AB,trollhattanenergi.se,kundservice@trollhattanenergi.se,020-89 90 00,"Förrådsgatan 2 Box 933, 461 29 Trollhättan"
3508CE,20,REL00011,Bjärke Energi ek. för.,"1488",Trollhättan,Bjärke Energi ek. för.,bjerke-energi.se,info@bjerke-energi.se,0322-650 500,"Energigatan 3, 441 74 Sollebrunn"
7205EJ,20,REL00049,Grästorps Energi ek. för.,"1488",Trollhättan,Grästorps Energi ek. för.,grastorpenergi.se,kundtjanst@grastorpenergi.se,0514-105 25,"Plogvägen 5, 467 30 Grästorp"
8400AS,20,REL03030,Vattenfall Eldistribution AB,"1488",Trollhättan,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
1659EX,20,REL00169,Skånska Energi Nät AB,"1285",Eslöv,Skånska Energi Nät AB,skanska-energi.se,se@skanska-energi.se,046-507 00,"Skånska Energi AB, Box 25, 221 00 Lund"
380CHH,20,REL03028,E.ON Energidistribution AB,"1285",Eslöv,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380JCg,20,REL03028,E.ON Energidistribution AB,"1285",Eslöv,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
7035P,20,REL00886,Kraftringen Nät AB,"1285",Eslöv,Kraftringen Nät AB,kraftringen.se,,010-122 70 00,"Box 25, 221 00 Lund"
712AD,20,REL00886,Kraftringen Nät AB,"1285",Eslöv,Kraftringen Nät AB,kraftringen.se,,010-122 70 00,"Box 25, 221 00 Lund"
895Bå,20,REL00164,Sjöbo Elnät AB,"1285",Eslöv,Sjöbo Elnät AB,sjoboelnat.se,info@sjoboelnat.se,0416-41 19 00,"Ommavägen 26, 275 39 Sjöbo"
205BY,20,REL03045,Öresundskraft Elnät AB,"1283",Helsingborg,Öresundskraft Elnät AB,oresundskraft.se,info@oresundskraft.se,042-490 30 00,"Västra sandgatan 4, 252 25 Helsingborg"
205CK,20,REL03045,Öresundskraft Elnät AB,"1283",Helsingborg,Öresundskraft Elnät AB,oresundskraft.se,info@oresundskraft.se,042-490 30 00,"Västra sandgatan 4, 252 25 Helsingborg"
380CHH,20,REL03028,E.ON Energidistribution AB,"1283",Helsingborg,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380COX,24,REL03028,E.ON Energidistribution AB,"1283",Helsingborg,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
436BQ,20,REL03045,Öresundskraft Elnät AB,"1283",Helsingborg,Öresundskraft Elnät AB,oresundskraft.se,info@oresundskraft.se,042-490 30 00,"Västra sandgatan 4, 252 25 Helsingborg"
6252x,20,REL00080,Höganäs Energi AB,"1283",Helsingborg,Höganäs Energi AB,hoganasenergi.se,kundservice.el@hoganas.se,042-33 74 00,"Verkstadsgatan 13C, 263 82 Höganäs"
713CG,20,REL03045,Öresundskraft Elnät AB,"1283",Helsingborg,Öresundskraft Elnät AB,oresundskraft.se,info@oresundskraft.se,042-490 30 00,"Västra sandgatan 4, 252 25 Helsingborg"
380CPA,24,REL03028,E.ON Energidistribution AB,"1984",Arboga,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
394AR,20,REL00093,Tekniska verken Katrineholm Nät AB,"1984",Arboga,Tekniska verken Katrineholm Nät AB,tekniskaverken.se,kundservice@tekniskaverken.se,0771-25 26 27,"Box 1500, 58115 Linköping"
6371V,20,REL00944,Linde Energi Elnät AB,"1984",Arboga,Linde Energi Elnät AB,lindeenergi.se,kundservice@lindeenergi.se,0581-887 01,"Box 77, 711 22 Lindesberg"
731ÖEO,20,REL03030,Vattenfall Eldistribution AB,"1984",Arboga,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖEP,20,REL03030,Vattenfall Eldistribution AB,"1984",Arboga,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖFL,20,REL03030,Vattenfall Eldistribution AB,"1984",Arboga,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
7403BH,40,REL00267,Mälarenergi Elnät AB,"1984",Arboga,Mälarenergi Elnät AB,malarenergi.se,,021-39 50 50,"Box 14, 721 03 Västerås"
8704Å,20,REL03028,E.ON Energidistribution AB,"1984",Arboga,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
2974CE,20,REL00143,Olofströms Kraft Nät AB,"1060",Olofström,Olofströms Kraft Nät AB,olofstromskraft.se,kund@okab.net,0454 - 980 00,"Östra Ringvägen 219, 293 40 Olofström"
380CEO,20,REL03028,E.ON Energidistribution AB,"1060",Olofström,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CGF,20,REL03028,E.ON Energidistribution AB,"1060",Olofström,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380COR,24,REL03028,E.ON Energidistribution AB,"1060",Olofström,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380UCp,20,REL03028,E.ON Energidistribution AB,"1060",Olofström,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
7220EI,24,REL03035,Ellevio AB,"1715",Kil,Ellevio AB,ellevio.se,,0771-53 53 00,
7220EK,20,REL03035,Ellevio AB,"1715",Kil,Ellevio AB,ellevio.se,,0771-53 53 00,
7220EM,20,REL03035,Ellevio AB,"1715",Kil,Ellevio AB,ellevio.se,,0771-53 53 00,
418AK,20,REL03035,Ellevio AB,"1763",Forshaga,Ellevio AB,ellevio.se,,0771-53 53 00,
7220EI,24,REL03035,Ellevio AB,"1763",Forshaga,Ellevio AB,ellevio.se,,0771-53 53 00,
7220EM,20,REL03035,Ellevio AB,"1763",Forshaga,Ellevio AB,ellevio.se,,0771-53 53 00,
380COM,24,REL03028,E.ON Energidistribution AB,"1270",Tomelilla,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380COV,24,REL03028,E.ON Energidistribution AB,"1270",Tomelilla,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380HCö,20,REL03028,E.ON Energidistribution AB,"1270",Tomelilla,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380ÅCr,20,REL03028,E.ON Energidistribution AB,"1270",Tomelilla,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
3930Ö,24,REL00364,Österlens Kraft AB,"1270",Tomelilla,Österlens Kraft AB,osterlenskraft.se,info@osterlenskraft.se,0414-285 60,"Testgatan 3, 27236 Simrishamn"
4426AD,20,REL00144,Olseröds Elektriska Distributionsförening u.p.a.,"1270",Tomelilla,Olseröds Elektriska Distributionsförening u.p.a.,oedf.se,info@oedf.se,044-35 11 26,"Sockenvägen 524, 297 95 Degeberga"
895Bå,20,REL00164,Sjöbo Elnät AB,"1270",Tomelilla,Sjöbo Elnät AB,sjoboelnat.se,info@sjoboelnat.se,0416-41 19 00,"Ommavägen 26, 275 39 Sjöbo"
1376CK,20,REL03028,E.ON Energidistribution AB,"1214",Svalöv,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CHH,20,REL03028,E.ON Energidistribution AB,"1214",Svalöv,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
436BQ,20,REL03045,Öresundskraft Elnät AB,"1214",Svalöv,Öresundskraft Elnät AB,oresundskraft.se,info@oresundskraft.se,042-490 30 00,"Västra sandgatan 4, 252 25 Helsingborg"
7035P,20,REL00886,Kraftringen Nät AB,"1214",Svalöv,Kraftringen Nät AB,kraftringen.se,,010-122 70 00,"Box 25, 221 00 Lund"
712AD,20,REL00886,Kraftringen Nät AB,"1214",Svalöv,Kraftringen Nät AB,kraftringen.se,,010-122 70 00,"Box 25, 221 00 Lund"
153BK,110,REL03035,Ellevio AB,"0125",Ekerö,Ellevio AB,ellevio.se,,0771-53 53 00,
1839AN,20,REL03030,Vattenfall Eldistribution AB,"0125",Ekerö,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
2275AI,20,REL03030,Vattenfall Eldistribution AB,"0125",Ekerö,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
2464A,20,REL03028,E.ON Energidistribution AB,"0125",Ekerö,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
3163BB,20,REL03035,Ellevio AB,"0125",Ekerö,Ellevio AB,ellevio.se,,0771-53 53 00,
3251P,24,REL03028,E.ON Energidistribution AB,"0125",Ekerö,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
498AF,20,REL00186,Telge Nät AB,"0125",Ekerö,Telge Nät AB,telgeenergi.se,nat@telge.se,08-550 233 00,"Box 633, 151 27 Södertälje"
731ÖDH,20,REL03030,Vattenfall Eldistribution AB,"0125",Ekerö,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖEP,20,REL03030,Vattenfall Eldistribution AB,"0125",Ekerö,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
360BC,20,REL03028,E.ON Energidistribution AB,"1276",Klippan,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CHH,20,REL03028,E.ON Energidistribution AB,"1276",Klippan,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380COX,24,REL03028,E.ON Energidistribution AB,"1276",Klippan,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
644t,24,REL00886,Kraftringen Nät AB,"1276",Klippan,Kraftringen Nät AB,kraftringen.se,,010-122 70 00,"Box 25, 221 00 Lund"
7035P,20,REL00886,Kraftringen Nät AB,"1276",Klippan,Kraftringen Nät AB,kraftringen.se,,010-122 70 00,"Box 25, 221 00 Lund"
198Q,20,REL03035,Ellevio AB,"0115",Vallentuna,Ellevio AB,ellevio.se,,0771-53 53 00,
2252AF,20,REL03028,E.ON Energidistribution AB,"0115",Vallentuna,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
2471M,20,REL03030,Vattenfall Eldistribution AB,"0115",Vallentuna,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
3238AK,24,REL00133,Norrtälje Energi AB,"0115",Vallentuna,Norrtälje Energi AB,norrtaljeenergi.se,info@norrtaljeenergi.se,0176-718 00,"Box 216, 761 23 Norrtälje"
3580AB,20,REL03035,Ellevio AB,"0115",Vallentuna,Ellevio AB,ellevio.se,,0771-53 53 00,
5259L,25,REL03030,Vattenfall Eldistribution AB,"0115",Vallentuna,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖGT,20,REL03030,Vattenfall Eldistribution AB,"0115",Vallentuna,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
7413T,20,REL03028,E.ON Energidistribution AB,"0115",Vallentuna,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
731ÖEO,20,REL03030,Vattenfall Eldistribution AB,"1907",Surahammar,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
7403BH,40,REL00267,Mälarenergi Elnät AB,"1907",Surahammar,Mälarenergi Elnät AB,malarenergi.se,,021-39 50 50,"Box 14, 721 03 Västerås"
2252AF,20,REL03028,E.ON Energidistribution AB,"0191",Sigtuna,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
2471M,20,REL03030,Vattenfall Eldistribution AB,"0191",Sigtuna,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
3251P,24,REL03028,E.ON Energidistribution AB,"0191",Sigtuna,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
3580AB,20,REL03035,Ellevio AB,"0191",Sigtuna,Ellevio AB,ellevio.se,,0771-53 53 00,
731ÖGT,20,REL03030,Vattenfall Eldistribution AB,"0191",Sigtuna,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
7220EI,24,REL03035,Ellevio AB,"1762",Munkfors,Ellevio AB,ellevio.se,,0771-53 53 00,
1446CD,20,REL00195,Uddevalla Energi Elnät AB,"1462",Lilla Edet,Uddevalla Energi Elnät AB,uddevallaenergi.se,kundservice@uddevallaenergi.se,0522-580 800,"Strömberget, 451 81 Uddevalla"
211CX,20,REL00191,Trollhättan Energi Elnät AB,"1462",Lilla Edet,Trollhättan Energi Elnät AB,trollhattanenergi.se,kundservice@trollhattanenergi.se,020-89 90 00,"Förrådsgatan 2 Box 933, 461 29 Trollhättan"
2536BH,20,REL00074,Hjärtums Elförening ek för,"1462",Lilla Edet,Hjärtums Elförening ek för,hjartumselforening.se,info@hjartumsel.se,0520-47 05 70,"Sannersby 115, 46392 Lilla Edet"
4791DB,22,REL00001,Ale El ek. för.,"1462",Lilla Edet,Ale El ek. för.,aleel.se,info@aleel.se,0303-33 24 00,"Lunnavägen 2, Box 3004, 449 14 Alafors"
754O,20,REL00100,Kungälv Energi AB,"1462",Lilla Edet,Kungälv Energi AB,kungalvenergi.se,info@kungalvenergi.se,0303-23 93 00,"Box 515, 442 15 Kungälv"
8400AS,20,REL03030,Vattenfall Eldistribution AB,"1462",Lilla Edet,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
3508CE,20,REL00011,Bjärke Energi ek. för.,"1440",Ale,Bjärke Energi ek. för.,bjerke-energi.se,info@bjerke-energi.se,0322-650 500,"Energigatan 3, 441 74 Sollebrunn"
446ER,20,REL00062,Göteborg Energi Nät AB,"1440",Ale,Göteborg Energi Nät AB,goteborgenergi.se,,031-62 62 62,"Box 53, 401 20 Göteborg"
4791DB,22,REL00001,Ale El ek. för.,"1440",Ale,Ale El ek. för.,aleel.se,info@aleel.se,0303-33 24 00,"Lunnavägen 2, Box 3004, 449 14 Alafors"
754O,20,REL00100,Kungälv Energi AB,"1440",Ale,Kungälv Energi AB,kungalvenergi.se,info@kungalvenergi.se,0303-23 93 00,"Box 515, 442 15 Kungälv"
823JI,20,REL00106,Lerum Nät AB,"1440",Ale,Lerum Nät AB,lerumenergi.se,kundservice@lerumenergi.se,0302-558 50,"Elvägen 7, 443 61 Stenkullen"
8400AS,20,REL03030,Vattenfall Eldistribution AB,"1440",Ale,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
1290BP,20,REL00175,Staffanstorps Energi AB,"1280",Malmö,Staffanstorps Energi AB,staffanstorpscentrum.se/energi,staffanstorpsenergi@staffanstorp.se,046-280 43 00,"Box 137, 245 22 Staffanstorp"
365DG,50,REL03028,E.ON Energidistribution AB,"1280",Malmö,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CEH,20,REL03028,E.ON Energidistribution AB,"1280",Malmö,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380COQ,20,REL03028,E.ON Energidistribution AB,"1280",Malmö,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
3166BH,24,REL00184,Södra Hallands Kraft ek. för.,"1257",Örkelljunga,Södra Hallands Kraft ek. för.,sodrahallandskraft.se,info@sodrahallandskraft.se,0430-480 00,"Box 63, 312 21 LAHOLM"
360BC,20,REL03028,E.ON Energidistribution AB,"1257",Örkelljunga,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CFP,20,REL03028,E.ON Energidistribution AB,"1257",Örkelljunga,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380COX,24,REL03028,E.ON Energidistribution AB,"1257",Örkelljunga,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
7035P,20,REL00886,Kraftringen Nät AB,"1257",Örkelljunga,Kraftringen Nät AB,kraftringen.se,,010-122 70 00,"Box 25, 221 00 Lund"
360BC,20,REL03028,E.ON Energidistribution AB,"1267",Höör,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
